observedProperty,resultUom,_Year,resultMeanValue,water_name,Country_name,PopulationDensity,TouristMean_1990_2020,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,waste_treatment_recycling_percent
EEA_3161-05-5,mg{N}/L,2009,0.244134,FRDR282,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_31615-01-7,mg{N}/L,2009,0.71756,FRDR282,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-02-2,mg{N}/L,2009,0.21756,FRDR282,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3121-01-5,Cel,2009,12.1167,FRDR319,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-01-0,ug/L,2009,1,FRDR319,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-55-8,mg{NO3}/L,2009,3.065577971,FRDR319,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3131-01-9,%,2009,97.5,FRDR319,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-01-0,ug/L,2009,1,FRDR316,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-65-0,mg{NO2}/L,2009,0.00999631,FRDR282,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-07-6,{massRatio},2009,85.0802,FRDR329B,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_7723-14-0,mg{P}/L,2009,0.02,FRDR329B,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-55-8,mg{NO3}/L,2009,15.96101726,FRDR323C,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-01-1,mg{N}/L,2009,1,FRDR319,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-55-8,mg{NO3}/L,2009,2.932294282,FRDR319,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14797-65-0,mg{NO2}/L,2009,0.079970349,FRDR319,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_31615-01-7,mg{N}/L,2009,1.24524,FRDR316,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_7723-14-0,mg{P}/L,2009,0.03,FRDR316,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14798-03-9,mg{NH4}/L,2009,0.025044387,FRDR336,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-07-6,{massRatio},2009,64.8168,FRDR336,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3152-01-0,[pH],2009,8.04157,FRDR336,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3131-01-9,%,2009,91.8333,FRDR337,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3133-01-5,mg{O2}/L,2009,1.09167,FRDR348,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-08-7,{massRatio},2009,129.496,FRDR348,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14798-03-9,mg{NH4}/L,2009,0.103517075,FRDR348,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_31615-01-7,mg{N}/L,2009,2.01023,FRDR348,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_14265-44-2,mg{P}/L,2009,0.00299123,FRDR535,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-07-6,{massRatio},2009,138.745,FRDR535,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3152-01-0,[pH],2009,8.0126,FRDR535,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3164-08-7,{massRatio},2009,14.4383,FRDR558,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
CAS_7723-14-0,mg{P}/L,2009,0.0309583,IT12-2_34,Italy,205.4183722,39653776,34.4,7.6,4.3,15.4,22.8,11.6,0,3.8,0,25.9
EEA_3152-01-0,[pH],2009,7.90349,FRDR319,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3142-01-6,uS/cm,2009,321.667,FRDR316,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3121-01-5,Cel,2009,9.51667,FRDR316,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-02-2,mg{N}/L,2009,2.07657,FRDR1807A,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3131-01-9,%,2009,107.433,FRDR1320C,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3121-01-5,Cel,2009,12.22,FRDR1320C,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
EEA_3161-05-5,mg{N}/L,2009,0.263348,FRDR1320C,France,122.2994372,71176346,32,10,3,26,20,9,0,0,0,22.26
